	sequences per sample	iteration	CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	RW371	RW372	RW373	R37J161	R37J162	R37J163
alpha_rarefaction_44640_0.txt	44640	0	5274.55384615	4472.57214765	4914.22349103	5475.49393414	5677.96666667	4550.69105691	4806.18978102	5264.90995261	624.616438356	6594.55871886	4340.10721248	5343.0
alpha_rarefaction_44640_1.txt	44640	1	5329.72301136	4472.57214765	5125.06315789	5459.74471831	5789.00753769	4497.37467018	4781.03804348	5297.63765823	649.269230769	6478.06598985	4367.14864865	5181.46683673
alpha_rarefaction_44640_2.txt	44640	2	5334.71669004	4472.57214765	4925.40387722	5461.90243902	5598.34889435	4454.12531969	4503.58064516	5193.85023401	635.128205128	6455.43928571	4392.7029703	5255.53164557
alpha_rarefaction_44640_3.txt	44640	3	5389.27272727	4472.57214765	4886.03398058	5459.88481675	5719.32850242	4630.21467391	4779.53533569	5111.54872564	564.1625	6734.29704797	4203.90018832	4960.0
alpha_rarefaction_44640_4.txt	44640	4	5283.15818432	4472.57214765	4954.4141252	5461.83188908	5872.6969697	4550.46419098	4692.72727273	5118.85502959	710.661764706	6888.37476809	4421.46428571	4991.4088785
alpha_rarefaction_44640_5.txt	44640	5	5279.42553191	4472.57214765	4984.32478632	5511.54878049	6161.28831169	4466.62690355	4802.53164557	5147.5787037	589.75	6333.0	4272.68615984	4901.02147971
alpha_rarefaction_44640_6.txt	44640	6	5386.02209131	4472.57214765	4989.75732899	5491.06759099	5693.15671642	4601.56032172	4668.98767606	5193.62674961	645.643835616	6731.04545455	4372.26693227	5038.4009901
alpha_rarefaction_44640_7.txt	44640	7	5236.32859175	4472.57214765	4990.725	5487.08710801	5750.08977556	4562.34473684	4757.23801066	5036.98408104	629.507042254	6592.49206349	4292.54150198	5119.38596491
alpha_rarefaction_44640_8.txt	44640	8	5243.34396671	4472.57214765	4905.63149606	5511.35986159	5696.19647355	4509.42553191	4869.35018727	5077.79049034	579.1375	6720.69312169	4233.95669291	4908.36170213
alpha_rarefaction_44640_9.txt	44640	9	5264.80224404	4472.57214765	4903.97619048	5506.32446809	5869.32133676	4524.95372751	4649.31578947	5418.02463054	617.038961039	6458.57043478	4122.59302326	4780.69178082
