#OTU ID	CK	JXBR16	RW37	R37J16	taxonomy
SH020264.07FU_KF800472_reps_singleton	0	0	2	3	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__; f__; g__; s__
SH031695.07FU_GQ219901_reps_singleton	40	15	12	19	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__
SH005527.07FU_HE584950_reps	3	2	1	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_sclerotiorum
SH005454.07FU_GU944820_reps_singleton	0	3	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Botryosphaeria; s__Botryosphaeria_corticis
SH006024.07FU_AB520501_reps	22	0	1	143	k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
SH018275.07FU_AY280976_reps	15	0	0	3	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Strophariaceae; g__Gymnopilus; s__Gymnopilus_suberis
SH020953.07FU_KJ409434_reps	44	4	33	3	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Periconia; s__
SH489559.07FU_KT385730_reps	1	0	2	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetidae_ord_Incertae_sedis; f__Apiosporaceae; g__Arthrinium; s__
SH023574.07FU_KJ869115_reps	39	3	1	9	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariales_fam_Incertae_sedis; g__Dinemasporium; s__Dinemasporium_pseudostrigosum
SH026472.07FU_KF673661_reps	1209	1000	743	542	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__; g__; s__
SH489413.07FU_KJ735008_reps_singleton	30	18	21	17	k__Fungi; p__Zygomycota; c__Mortierellomycotina_cls_Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__
SH020983.07FU_JN235282_refs	4	4	278	1	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_keratoplasticum
SH031224.07FU_KJ160147_reps_singleton	2271	2766	2358	3582	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum
SH028691.07FU_AF257791_reps_singleton	6	3	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus_flavus
SH015662.07FU_EU918694_refs	0	0	0	4	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Meruliaceae; g__Bjerkandera; s__Bjerkandera_adusta
SH017499.07FU_KF675539_reps_singleton	0	4	1	1	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__; s__
SH031713.07FU_DQ389720_refs	0	0	0	1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
SH008816.07FU_FJ596921_reps	550	1940	166	340	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__; g__; s__
SH013951.07FU_JQ070456_reps	1	0	6	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__; f__; g__; s__
SH019601.07FU_FM180044_reps_singleton	0	0	0	5	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Phoma; s__
